Pond	Sonde	Treatment	Time_seq	Date_time	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
B1P1	Sonde16	S	0.0847222	2022-06-23T22:03:00Z	-0.04	39.7	-1.26	10.44	7.17	3.22	50.3	13.999
B1P1	Sonde16	S	0.0861111	2022-06-23T22:05:00Z	-0.05	39.7	-1.63	10.43	7.17	3.22	50.3	13.961
B1P1	Sonde16	S	0.0875	2022-06-23T22:07:00Z	0.12	39.7	-1.51	10.45	7.18	3.22	50.3	13.986
B1P1	Sonde16	S	0.0888889	2022-06-23T22:09:00Z	0.06		-1.4	10.46	7.18	3.23		14.005
B1P1	Sonde16	S	0.0902778	2022-06-23T22:11:00Z	0.14	39.7	-1.47	10.44	7.18	3.16	50.3	14
B1P1	Sonde16	S	0.0916667	2022-06-23T22:13:00Z	-0.13	39.7	-1.61	10.45	7.18	3.21	50.3	13.982
B1P1	Sonde16	S	0.0930556	2022-06-23T22:15:00Z	-0.05	39.7	-1.55	10.41	7.17	3.22	50.3	13.975
B1P1	Sonde16	S	0.0944444	2022-06-23T22:17:00Z	0.25	39.7	-1.5	10.43	7.17	3.22	50.3	13.949
B1P1	Sonde16	S	0.0958333	2022-06-23T22:19:00Z	-0.19	39.7	-1.46	10.43	7.17	3.22	50.3	13.952
B1P1	Sonde16	S	0.0972222	2022-06-23T22:21:00Z	0.05	39.7	-1.43	10.41	7.17	3.21	50.3	13.951
B1P1	Sonde16	S	0.0986111	2022-06-23T22:23:00Z	0.29	39.7	-1.42	10.42	7.17	3.21	50.3	13.94
B1P1	Sonde16	S	0.1	2022-06-23T22:25:00Z	0.06	39.7	-1.49	10.45	7.17	3.24	50.3	13.994
B1P1	Sonde16	S	0.1013889	2022-06-23T22:27:00Z	0.16	39.7	-1.46	10.44	7.18	3.22	50.3	13.98
B1P1	Sonde16	S	0.1027778	2022-06-23T22:29:00Z	0.13	39.7	-1.39	10.43	7.18	3.23	50.3	13.97
B1P1	Sonde16	S	0.1041667	2022-06-23T22:31:00Z	0.07	39.7	-1.26	10.43	7.17	3.23	50.3	13.97
B1P1	Sonde16	S	0.1055556	2022-06-23T22:33:00Z	0.01	39.7	-1.45	10.43	7.17	3.23	50.3	13.988
B1P1	Sonde16	S	0.1069444	2022-06-23T22:35:00Z	0.04	39.7	-1.58	10.44	7.17	3.23	50.3	14.012
B1P1	Sonde16	S	0.1083333	2022-06-23T22:37:00Z	0.19		-1.38	10.46	7.18	3.25	50.3	14.003
B1P1	Sonde16	S	0.1097222	2022-06-23T22:39:00Z	0.54		-1.45	10.46	7.18	3.23	50.3	14.01
B1P1	Sonde16	S	0.1111111	2022-06-23T22:41:00Z	0.06		-1.44	10.47	7.18		50.3	14.021
B1P1	Sonde16	S	0.1125	2022-06-23T22:43:00Z	-0.07		-1.4	10.47	7.18	3.26	50.3	14.001
B1P1	Sonde16	S	0.1138889	2022-06-23T22:45:00Z	0.39	39.7	-1.52	10.45	7.17	3.22	50.3	14.013
B1P1	Sonde16	S	0.1152778	2022-06-23T22:47:00Z	0.07	39.7	-1.36	10.43	7.17	3.21	50.3	14.005
B1P1	Sonde16	S	0.1166667	2022-06-23T22:49:00Z	0.04	39.7	-1.55	10.42	7.16	3.2	50.3	14.022
B1P1	Sonde16	S	0.1180556	2022-06-23T22:51:00Z	0.13	39.7	-1.44	10.42	7.16	3.2	50.3	14.03
B1P1	Sonde16	S	0.1194444	2022-06-23T22:53:00Z	0.46	39.7	-1.45	10.41	7.16	3.19		14.042
B1P1	Sonde16	S	0.1208333	2022-06-23T22:55:00Z	0.13	39.7	-1.58	10.42	7.16	3.19	50.3	14.027
B1P1	Sonde16	S	0.1222222	2022-06-23T22:57:00Z	0.07	39.7	-1.46	10.4	7.15	3.18		14.054
B1P1	Sonde16	S	0.1236111	2022-06-23T22:59:00Z	0.14	39.7	-1.48	10.4	7.15	3.18	50.3	14.044
B1P1	Sonde16	S	0.125	2022-06-23T23:01:00Z	0.39	39.7	-1.42	10.41	7.15	3.22	50.3	14.024
B1P1	Sonde16	S	0.1263889	2022-06-23T23:03:00Z	-0.01	39.7	-1.39	10.41	7.15	3.21		14.018
B1P1	Sonde16	S	0.1277778	2022-06-23T23:05:00Z	0.01	39.7	-1.58	10.42	7.15	3.23	50.3	14.008
B1P1	Sonde16	S	0.1291667	2022-06-23T23:07:00Z	-0.04	39.7	-1.49	10.43	7.16	3.22		14.013
B1P1	Sonde16	S	0.1305556	2022-06-23T23:09:00Z	0.21	39.7	-1.66	10.43	7.16	3.24	50.3	13.993
B1P1	Sonde16	S	0.1319444	2022-06-23T23:11:00Z	0.29	39.7	-1.4	10.43	7.16	3.24	50.3	13.967
B1P1	Sonde16	S	0.1333333	2022-06-23T23:13:00Z	-0.09	39.7	-1.37	10.43	7.16	3.22	50.3	13.974
B1P1	Sonde16	S	0.1347222	2022-06-23T23:15:00Z	0	39.7	-1.5	10.43	7.16	3.24	50.3	13.978
B1P1	Sonde16	S	0.1361111	2022-06-23T23:17:00Z	0.38	39.7	-1.48	10.43	7.16	3.22	50.3	13.979
B1P1	Sonde16	S	0.1375	2022-06-23T23:19:00Z	1.42	39.7	-1.16	10.42	7.16	3.23	50.3	13.977
B1P1	Sonde16	S	0.1388889	2022-06-23T23:21:00Z	-0.16	39.7	-1.52	10.42	7.16	3.22	50.3	13.969
B1P1	Sonde16	S	0.1402778	2022-06-23T23:23:00Z	0.03	39.7	-1.49	10.42	7.16	3.23	50.3	13.986
B1P1	Sonde16	S	0.1416667	2022-06-23T23:25:00Z	0.06	39.7	-1.4	10.43	7.16	3.23	50.3	14.006
B1P1	Sonde16	S	0.1430556	2022-06-23T23:27:00Z	0.44	39.7	-1.39	10.44	7.17	3.25	50.3	13.997
B1P1	Sonde16	S	0.1444444	2022-06-23T23:29:00Z	0.36	39.7	-1.29	10.44	7.16	3.22		14.049
B1P1	Sonde16	S	0.1458333	2022-06-23T23:31:00Z	0.32	39.7	-1.37	10.43	7.16	3.22	50.3	14.017
B1P1	Sonde16	S	0.1472222	2022-06-23T23:33:00Z	0.77		-1.41	10.44	7.17	3.26	50.3	14.013
B1P1	Sonde16	S	0.1486111	2022-06-23T23:35:00Z	0.53		-1.42	10.43	7.17	3.23	50.3	14.037
B1P1	Sonde16	S	0.15	2022-06-23T23:37:00Z	-0.09	39.7	-1.46	10.45	7.17	3.25	50.3	13.998
B1P1	Sonde16	S	0.1513889	2022-06-23T23:39:00Z	0.28		-1.37	10.46	7.17	3.24	50.3	14.024
B1P1	Sonde16	S	0.1527778	2022-06-23T23:41:00Z	0.2		-1.4	10.45	7.17	3.24	50.3	14.02
B1P1	Sonde16	S	0.1541667	2022-06-23T23:43:00Z	0.23		-1.49	10.45	7.17	3.24	50.3	14.02
B1P1	Sonde16	S	0.1555556	2022-06-23T23:45:00Z	0.3	39.7	-1.42	10.44	7.17	3.25	50.3	14.001
B1P1	Sonde16	S	0.1569444	2022-06-23T23:47:00Z	-0.04	39.7	-1.64	10.44	7.17	3.23	50.3	14.01
B1P1	Sonde16	S	0.1583333	2022-06-23T23:49:00Z	0	39.7	-1.46	10.45	7.17	3.25	50.3	14.003
B1P1	Sonde16	S	0.1597222	2022-06-23T23:51:00Z	0.65		-1.42	10.46	7.16	3.23	50.3	14.035
B1P1	Sonde16	S	0.1611111	2022-06-23T23:53:00Z	0.08		-1.31	10.45	7.16	3.23	50.3	14.038
B1P1	Sonde16	S	0.1625	2022-06-23T23:55:00Z	0.38		-1.45	10.45	7.17	3.23	50.3	14.025
B1P1	Sonde16	S	0.1638889	2022-06-23T23:57:00Z	0.21	39.7	-1.5	10.45	7.17	3.24	50.3	13.991
B1P1	Sonde16	S	0.1652778	2022-06-23T23:59:00Z	0.12	39.7	-1.45	10.44	7.17	3.23	50.3	13.989
B1P1	Sonde16	S	0.1666667	2022-06-24T00:01:00Z	0.11	39.7	-1.53	10.45	7.17	3.26	50.3	14.002
B1P1	Sonde16	S	0.1680556	2022-06-24T00:03:00Z	0.84		-1.28	10.45	7.17	3.25		13.979
B1P1	Sonde16	S	0.1694444	2022-06-24T00:05:00Z	0.11	39.7	-1.54	10.46	7.17	3.25	50.3	13.984
B1P1	Sonde16	S	0.1708333	2022-06-24T00:07:00Z	-0.05	39.7	-1.54	10.47	7.17	3.25	50.3	14.003
B1P1	Sonde16	S	0.1722222	2022-06-24T00:09:00Z	0.24	39.7	-1.43	10.46	7.17	3.25	50.3	13.988
B1P1	Sonde16	S	0.1736111	2022-06-24T00:11:00Z	0.02		-1.55	10.43	7.17	3.26	50.3	13.992
B1P1	Sonde16	S	0.175	2022-06-24T00:13:00Z	0.36	39.7	-1.33	10.44	7.17	3.24	50.3	14.003
B1P1	Sonde16	S	0.1763889	2022-06-24T00:15:00Z	0.28	39.7	-1.56	10.45	7.17	3.24	50.3	14.015
B1P1	Sonde16	S	0.1777778	2022-06-24T00:17:00Z	0.09	39.7	-1.49	10.45	7.17	3.25	50.3	14.028
B1P1	Sonde16	S	0.1791667	2022-06-24T00:19:00Z	0.28	39.7	-1.44	10.45	7.16	3.24	50.3	14.038
B1P1	Sonde16	S	0.1805556	2022-06-24T00:21:00Z	0.64	39.7	-1.43	10.47	7.18	3.24	50.3	14.012
B1P1	Sonde16	S	0.1819444	2022-06-24T00:23:00Z	0.08	39.7	-1.41	10.46	7.18	3.29	50.3	14.006
B1P1	Sonde16	S	0.1833333	2022-06-24T00:25:00Z	0.31		-1.41	10.49	7.19	3.26	50.3	14.009
B1P1	Sonde16	S	0.1847222	2022-06-24T00:27:00Z	-0.01		-1.52	10.49	7.19	3.26	50.3	14.008
B1P1	Sonde16	S	0.1861111	2022-06-24T00:29:00Z	0.11		-1.46	10.49	7.18	3.27	50.3	14.031
B1P1	Sonde16	S	0.1875	2022-06-24T00:31:00Z	0.11		-1.46	10.47	7.18	3.25	50.3	14.027
B1P1	Sonde16	S	0.1888889	2022-06-24T00:33:00Z	0.7		-1.39	10.5	7.19	3.25		14.008
B1P1	Sonde16	S	0.1902778	2022-06-24T00:35:00Z	0.07	39.7	-1.41	10.5	7.2	3.28	50.3	13.991
B1P1	Sonde16	S	0.1916667	2022-06-24T00:37:00Z	0.15	39.7	-1.47	10.54	7.21	3.27	50.3	13.998
B1P1	Sonde16	S	0.1930556	2022-06-24T00:39:00Z	0.63	39.7	-1.27	10.54	7.22	3.32	50.3	13.985
B1P1	Sonde16	S	0.1944444	2022-06-24T00:41:00Z	-0.12		-1.52	10.62	7.24	3.31		13.956
B1P1	Sonde16	S	0.1958333	2022-06-24T00:43:00Z	0.15	39.7	-1.45	10.59	7.25	3.3		13.969
B1P1	Sonde16	S	0.1972222	2022-06-24T00:45:00Z	0.24		-1.49	10.61	7.27	3.32		13.969
B1P1	Sonde16	S	0.1986111	2022-06-24T00:47:00Z	0.81		-1.35	10.61	7.27	3.31		13.968
B1P1	Sonde16	S	0.2	2022-06-24T00:49:00Z	0.01		-1.5	10.55	7.25	3.29		13.976
B1P1	Sonde16	S	0.2013889	2022-06-24T00:51:00Z	-0.06	39.7	-1.56	10.52	7.23	3.28	50.3	13.976
B1P1	Sonde16	S	0.2027778	2022-06-24T00:53:00Z	0.22	39.7	-1.53	10.48	7.2	3.28	50.3	14.012
B1P1	Sonde16	S	0.2041667	2022-06-24T00:55:00Z	0.2	39.7	-1.47	10.45	7.17	3.25	50.3	14.014
B1P1	Sonde16	S	0.2055556	2022-06-24T00:57:00Z	0.27	39.7	-1.33	10.44	7.16	3.25		14.005
B1P1	Sonde16	S	0.2069444	2022-06-24T00:59:00Z	0.02	39.7	-1.39	10.41	7.15	3.24	50.3	14.027
B1P1	Sonde16	S	0.2083333	2022-06-24T01:01:00Z	0.64	39.7	-1.34	10.39	7.14	3.22		13.987
B1P1	Sonde16	S	0.2097222	2022-06-24T01:03:00Z	0.13	39.7	-1.56	10.38	7.13	3.23	50.3	13.99
B1P1	Sonde16	S	0.2111111	2022-06-24T01:05:00Z	0.07	39.7	-1.42	10.38	7.13	3.24	50.3	13.992
B1P1	Sonde16	S	0.2125	2022-06-24T01:07:00Z	0.04	39.7	-1.64	10.37	7.13	3.21		14.028
B1P1	Sonde16	S	0.2138889	2022-06-24T01:09:00Z	-0.05		-1.55	10.38	7.13	3.24		14.047
B1P1	Sonde16	S	0.2152778	2022-06-24T01:11:00Z	0.36		-1.5	10.41	7.15	3.23	50.3	14.07
B1P1	Sonde16	S	0.2166667	2022-06-24T01:13:00Z	0.13		-1.48	10.41	7.15	3.23		14.101
B1P1	Sonde16	S	0.2180556	2022-06-24T01:15:00Z	0.51		-1.27	10.41	7.15	3.21	50.3	14.135
B1P1	Sonde16	S	0.2194444	2022-06-24T01:17:00Z	-0.07		-1.43	10.42	7.16	3.22	50.3	14.164
B1P1	Sonde16	S	0.2208333	2022-06-24T01:19:00Z	-0.02		-1.37	10.45	7.16	3.22		14.167
B1P1	Sonde16	S	0.2222222	2022-06-24T01:21:00Z	0.41		-1.62	10.45	7.16	3.22		14.174
B1P1	Sonde16	S	0.2236111	2022-06-24T01:23:00Z	0.09		-1.52	10.43	7.16	3.22		14.177
B1P1	Sonde16	S	0.225	2022-06-24T01:25:00Z	0.55		-1.46	10.42	7.16	3.21		14.181
B1P1	Sonde16	S	0.2263889	2022-06-24T01:27:00Z	1.12		-1.57	10.41	7.15	3.2		14.156
B1P1	Sonde16	S	0.2277778	2022-06-24T01:29:00Z	1.03		-1.3	10.39	7.14	3.21		14.156
B1P1	Sonde16	S	0.2291667	2022-06-24T01:31:00Z	0		-1.41	10.39	7.14	3.2	50.3	14.134
B1P1	Sonde16	S	0.2305556	2022-06-24T01:33:00Z	0.03		-1.23	10.39	7.13	3.21	50.3	14.105
B1P1	Sonde16	S	0.2319444	2022-06-24T01:35:00Z	0.13		-1.55	10.39	7.13	3.22	50.3	14.11
B1P1	Sonde16	S	0.2333333	2022-06-24T01:37:00Z	0.53		-1.27	10.38	7.13	3.22	50.3	14.053
B1P1	Sonde16	S	0.2347222	2022-06-24T01:39:00Z	0.05		-1.52	10.38	7.13	3.21	50.3	14.038
B1P1	Sonde16	S	0.2361111	2022-06-24T01:41:00Z	0.07	39.7	-1.48	10.37	7.13	3.24	50.3	14.012
B1P1	Sonde16	S	0.2375	2022-06-24T01:43:00Z	0.76	39.7	-1.34	10.37	7.13	3.23	50.3	13.998
B1P1	Sonde16	S	0.2388889	2022-06-24T01:45:00Z	0.58		-1.39	10.37	7.13	3.23		14.01
B1P1	Sonde16	S	0.2402778	2022-06-24T01:47:00Z	0.22	39.7	-1.39	10.37	7.12	3.24	50.3	13.997
B1P1	Sonde16	S	0.2416667	2022-06-24T01:49:00Z	-0.01	39.7	-1.39	10.37	7.13	3.24	50.3	14.007
B1P1	Sonde16	S	0.2430556	2022-06-24T01:51:00Z	0.28	39.7	-1.41	10.38	7.13	3.24		14.002
B1P1	Sonde16	S	0.2444444	2022-06-24T01:53:00Z	0	39.7	-1.39	10.38	7.13	3.22	50.3	14.028
B1P1	Sonde16	S	0.2458333	2022-06-24T01:55:00Z	0.18	39.7	-1.45	10.38	7.13	3.23	50.3	14.031
B1P1	Sonde16	S	0.2472222	2022-06-24T01:57:00Z	-0.22	39.8	-1.6	10.38	7.13	3.24	50.3	14.037
B1P1	Sonde16	S	0.2486111	2022-06-24T01:59:00Z	0.34	39.7	-1.41	10.38	7.13	3.23	50.3	14.024
B1P1	Sonde16	S	0.25	2022-06-24T02:01:00Z	0.32	39.7	-1.44	10.36	7.12	3.22		14.056
B1P1	Sonde16	S	0.2513889	2022-06-24T02:03:00Z	1.01	39.8	-1.38	10.37	7.12	3.24	50.3	14.062
B1P1	Sonde16	S	0.2527778	2022-06-24T02:05:00Z	-0.06	39.7	-1.55	10.38	7.12	3.24	50.3	14.019
B1P1	Sonde16	S	0.2541667	2022-06-24T02:07:00Z	0.34	39.7	-1.33	10.37	7.12	3.24		14.035
B1P1	Sonde16	S	0.2555556	2022-06-24T02:09:00Z	0.05	39.7	-1.49	10.39	7.12	3.24	50.3	14.034
B1P1	Sonde16	S	0.2569444	2022-06-24T02:11:00Z	0.06	39.7	-1.53	10.38	7.12	3.24		14.014
B1P1	Sonde16	S	0.2583333	2022-06-24T02:13:00Z	0.05	39.7	-1.5	10.39	7.13	3.24	50.3	14.05
B1P1	Sonde16	S	0.2597222	2022-06-24T02:15:00Z	0.55	39.8	-1.41	10.4	7.13	3.24		14.096
B1P1	Sonde16	S	0.2611111	2022-06-24T02:17:00Z	0.07	39.8	-1.43	10.43	7.13	3.23	50.3	14.086
B1P1	Sonde16	S	0.2625	2022-06-24T02:19:00Z	0.02	39.8	-1.44	10.45	7.14	3.26	50.3	14.094
B1P1	Sonde16	S	0.2638889	2022-06-24T02:21:00Z	0.17	39.8	-1.41	10.42	7.14	3.24	50.3	14.075
B1P1	Sonde16	S	0.2652778	2022-06-24T02:23:00Z	0.01	39.8	-1.49	10.42	7.14	3.22	50.3	14.062
B1P1	Sonde16	S	0.2666667	2022-06-24T02:25:00Z	0.11	39.8	-1.49	10.44	7.15	3.25	50.3	14.056
B1P1	Sonde16	S	0.2680556	2022-06-24T02:27:00Z	0.11	39.8	-1.38	10.44	7.15	3.12	50.3	14.047
B1P1	Sonde16	S	0.2694444	2022-06-24T02:29:00Z	-0.04	39.8	-1.5	10.45	7.14	3.24	50.3	14.029
B1P1	Sonde16	S	0.2708333	2022-06-24T02:31:00Z	0.17	39.8	-1.49	10.46	7.15	3.26	50.3	14.032
B1P1	Sonde16	S	0.2722222	2022-06-24T02:33:00Z	-0.03	39.8	-1.39	10.39	7.13	3.19	50.3	14.041
B1P1	Sonde16	S	0.2736111	2022-06-24T02:35:00Z	0.09	39.7	-1.55	10.36	7.11			14.032
B1P1	Sonde16	S	0.275	2022-06-24T02:37:00Z	0.19	39.7	-1.49	10.36	7.1	3.24		14.018
B1P1	Sonde16	S	0.2763889	2022-06-24T02:39:00Z	0.64	39.7	-1.36	10.35	7.11	3.24	50.3	14.006
B1P1	Sonde16	S	0.2777778	2022-06-24T02:41:00Z	0.17	39.7	-1.37	10.42	7.12	3.25	50.3	14.042
B1P1	Sonde16	S	0.2791667	2022-06-24T02:43:00Z	0.05	39.7	-1.59	10.42	7.13	3.27	50.3	14.011
B1P1	Sonde16	S	0.2805556	2022-06-24T02:45:00Z	0.17	39.7	-1.41	10.39	7.13	3.24	50.3	13.972
B1P1	Sonde16	S	0.2819444	2022-06-24T02:47:00Z	0.4	39.7	-1.44	10.38	7.12	3.28	50.3	13.99
B1P1	Sonde16	S	0.2833333	2022-06-24T02:49:00Z	-0.06	39.7	-1.42	10.4	7.12	3.26	50.3	13.929
B1P1	Sonde16	S	0.2847222	2022-06-24T02:51:00Z	0.14	39.7	-1.46	10.4	7.13	3.26		13.983
B1P1	Sonde16	S	0.2861111	2022-06-24T02:53:00Z	-0.01		-1.49	10.41	7.13	3.28	50.3	14.015
B1P1	Sonde16	S	0.2875	2022-06-24T02:55:00Z	-0.02		-1.52	10.39	7.13	3.29	50.3	13.968
B1P1	Sonde16	S	0.2888889	2022-06-24T02:57:00Z	0.31		-1.49	10.46	7.15	3.31	50.3	14.013
B1P1	Sonde16	S	0.2902778	2022-06-24T02:59:00Z	-0.03		-1.58	10.47	7.16	3.32		14.047
B1P1	Sonde16	S	0.2916667	2022-06-24T03:01:00Z	0.71	39.8	-1.26	10.48	7.17	3.31	50.3	14.081
B1P1	Sonde16	S	0.2930556	2022-06-24T03:03:00Z	-0.07	39.8	-1.42	10.49	7.17	3.31	50.3	14.061
B1P1	Sonde16	S	0.2944444	2022-06-24T03:05:00Z	0.01	39.8	-1.31	10.45	7.16	3.25		14.046
