KOR Export File

File Created:21.02.2017 19:16:04

Sonde ID	Sonde01
User ID	Moritz
Site	Deployment Site
Template	Sonde01
Time Zone	(UTC+02:00) Amman

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	15D102264	1.0.12	6;7
Optical DO	15D102219	3.0.0	8;9
pH	15E101246	3.0.0	10;11
fDOM	15D102803	3.0.0	12;13
Total Algae BGA-PC	15D102570	3.0.0	14;15;16;17
Conductivity/Temp	15E101955	3.0.0	18;19;20;21;22;23
Wiper	15D102597	3.0.0	
Depth Non-Vented 0-100m	15C104794	3.0.0	24;25

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	Press psi a	Depth m	
01/27/2017	19:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.100000	16.460000	9.830000	-173.300000	-0.110000	-0.330000	2.500000	10.000000	-0.080000	-0.080000	3.861000	114.300000	191.700000	0.090000	194.100000	125.000000	0.784000	0.551000	
01/27/2017	20:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.900000	16.420000	9.810000	-172.600000	-0.110000	-0.320000	2.620000	10.490000	-0.090000	-0.090000	3.862000	117.500000	197.100000	0.090000	199.600000	128.000000	0.785000	0.552000	
01/27/2017	20:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.100000	16.450000	9.820000	-172.800000	-0.140000	-0.410000	2.490000	9.950000	-0.070000	-0.070000	3.864000	119.500000	200.500000	0.090000	203.100000	130.000000	0.784000	0.551000	
01/27/2017	20:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.200000	16.460000	9.820000	-172.900000	-0.110000	-0.320000	2.680000	10.710000	-0.060000	-0.060000	3.865000	118.300000	198.300000	0.090000	200.900000	129.000000	0.784000	0.551000	
01/27/2017	20:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	125.100000	16.440000	9.830000	-173.400000	-0.120000	-0.370000	2.370000	9.460000	-0.100000	-0.100000	3.866000	120.200000	201.500000	0.100000	204.100000	131.000000	0.786000	0.553000	
01/27/2017	21:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.800000	16.420000	9.810000	-172.600000	-0.120000	-0.360000	2.530000	10.100000	-0.070000	-0.070000	3.862000	117.600000	197.300000	0.090000	199.800000	128.000000	0.787000	0.553000	
01/27/2017	21:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.800000	16.410000	9.820000	-173.000000	-0.100000	-0.300000	2.350000	9.390000	-0.110000	-0.110000	3.866000	118.100000	198.000000	0.090000	200.600000	129.000000	0.788000	0.554000	
01/27/2017	21:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.820000	-173.100000	-0.130000	-0.390000	2.400000	9.590000	-0.090000	-0.090000	3.867000	118.200000	198.200000	0.090000	200.800000	129.000000	0.786000	0.553000	
01/27/2017	21:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.400000	9.820000	-172.900000	-0.100000	-0.300000	2.610000	10.440000	-0.080000	-0.080000	3.865000	119.900000	201.000000	0.100000	203.600000	131.000000	0.787000	0.553000	
01/27/2017	22:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.600000	16.380000	9.820000	-173.100000	-0.110000	-0.330000	2.810000	11.250000	-0.050000	-0.050000	3.862000	117.900000	197.700000	0.090000	200.300000	129.000000	0.788000	0.554000	
