KOR Export File

File Created:26/06/2018 11:25:29

Sonde ID	Sonde20
User ID	Moritz
Site	Deployment Site
Template	Sonde20
Time Zone	(UTC+01:00) Brussels. Copenhagen. Madrid. Paris

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	16M100125	1.0.18	6;7
Optical DO	16L103894	3.0.0	8;9
pH	16L104233	3.0.0	10;11
fDOM	16L101038	3.0.0	12;13
Total Algae BGA-PC	16L103551	3.0.0	14;15;16;17
Conductivity/Temp	16L102032	3.0.5	18;19;20;21;22;23
Wiper	16L103865	3.0.0	

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	
12/19/2017	19:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.440000	8.550000	-106.000000	0.260000	0.780000	1.090000	4.350000	-0.080000	-0.080000	4.803000	96.500000	157.200000	0.070000	159.400000	102.000000	
12/19/2017	20:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.200000	12.470000	8.550000	-106.300000	0.250000	0.760000	0.980000	3.910000	-0.090000	-0.090000	4.801000	96.500000	157.000000	0.070000	159.300000	102.000000	
12/19/2017	20:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.450000	8.560000	-106.800000	0.250000	0.760000	1.090000	4.340000	-0.040000	-0.040000	4.802000	97.100000	158.100000	0.070000	160.400000	103.000000	
12/19/2017	20:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.450000	8.560000	-106.700000	0.260000	0.780000	1.140000	4.540000	-0.090000	-0.090000	4.799000	101.600000	165.500000	0.080000	167.900000	108.000000	
12/19/2017	20:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.570000	-107.000000	0.260000	0.790000	1.150000	4.580000	-0.110000	-0.110000	4.792000	96.700000	157.500000	0.070000	159.800000	102.000000	
12/19/2017	21:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.560000	-106.700000	0.260000	0.780000	1.210000	4.840000	-0.070000	-0.070000	4.792000	96.500000	157.100000	0.070000	159.400000	102.000000	
12/19/2017	21:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.100000	12.460000	8.560000	-106.700000	0.240000	0.720000	1.110000	4.430000	-0.070000	-0.070000	4.789000	96.200000	156.700000	0.070000	158.900000	102.000000	
12/19/2017	21:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.420000	8.550000	-106.300000	0.270000	0.820000	1.100000	4.380000	-0.080000	-0.080000	4.790000	96.100000	156.500000	0.070000	158.700000	102.000000	
12/19/2017	21:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.900000	12.440000	8.560000	-106.700000	0.260000	0.790000	1.150000	4.590000	-0.050000	-0.050000	4.791000	96.800000	157.700000	0.070000	160.000000	103.000000	
12/19/2017	22:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.450000	8.560000	-106.600000	0.260000	0.770000	1.390000	5.570000	-0.010000	-0.010000	4.788000	96.400000	157.000000	0.070000	159.300000	102.000000	
